0.5011, s, 97.7, degC
1.0169, s, 97.8, degC
1.5327, s, 98.5, degC
2.0486, s, 98.8, degC
2.5645, s, 99.1, degC
3.0804, s, 99.2, degC
3.5963, s, 99.5, degC
4.1121, s, 99.7, degC
4.6280, s, 99.8, degC
5.1437, s, 100.1, degC
5.6596, s, 100.3, degC
6.1755, s, 100.5, degC
6.6913, s, 100.6, degC
7.2073, s, 100.7, degC
7.7231, s, 100.9, degC
8.2602, s, 101.1, degC
8.7549, s, 101.1, degC
9.2708, s, 101.3, degC
9.7865, s, 101.4, degC
10.3025, s, 101.5, degC
10.8184, s, 101.6, degC
11.3344, s, 101.7, degC
11.8585, s, 101.8, degC
12.3660, s, 101.9, degC
12.8818, s, 101.9, degC
13.3979, s, 102.0, degC
13.9576, s, 102.0, degC
14.4618, s, 102.1, degC
14.9776, s, 102.1, degC
15.4937, s, 102.2, degC
16.0095, s, 102.2, degC
16.5254, s, 102.3, degC
17.0411, s, 102.4, degC
17.5569, s, 102.4, degC
18.0730, s, 102.4, degC
18.5889, s, 102.5, degC
19.1048, s, 102.6, degC
19.6207, s, 102.6, degC
20.1366, s, 102.6, degC
20.6524, s, 102.6, degC
21.1683, s, 102.7, degC
21.6840, s, 102.7, degC
22.2001, s, 102.8, degC
22.7157, s, 102.8, degC
23.2538, s, 102.8, degC
23.7475, s, 102.8, degC
24.2635, s, 102.9, degC
24.7794, s, 102.9, degC
25.2953, s, 102.9, degC
25.8112, s, 102.9, degC
26.3270, s, 102.9, degC
26.8523, s, 102.9, degC
27.3588, s, 102.9, degC
27.8746, s, 102.9, degC
28.3904, s, 102.9, degC
28.9063, s, 102.9, degC
29.4224, s, 102.9, degC
29.9381, s, 102.9, degC
30.4758, s, 102.9, degC
30.9710, s, 102.9, degC
31.4855, s, 102.9, degC
32.0017, s, 102.9, degC
32.5175, s, 102.9, degC
33.0329, s, 102.9, degC
33.5490, s, 102.9, degC
34.0739, s, 103.0, degC
34.5808, s, 103.0, degC
35.0966, s, 103.0, degC
35.6124, s, 102.9, degC
36.1283, s, 102.9, degC
36.6442, s, 102.9, degC
37.1600, s, 102.9, degC
37.6762, s, 102.9, degC
38.1919, s, 102.9, degC
38.7078, s, 102.9, degC
39.2238, s, 102.9, degC
39.7394, s, 102.9, degC
40.2554, s, 102.9, degC
40.7713, s, 102.9, degC
41.2871, s, 102.9, degC
41.8031, s, 102.9, degC
42.3187, s, 102.9, degC
