96.3796, s, 101.8, degC
96.8955, s, 101.8, degC
97.4113, s, 101.9, degC
97.9273, s, 101.9, degC
98.4431, s, 102.0, degC
98.9591, s, 102.0, degC
99.4750, s, 102.1, degC
99.9908, s, 102.2, degC
100.5065, s, 102.2, degC
101.0223, s, 102.2, degC
101.5384, s, 102.3, degC
102.0543, s, 102.3, degC
102.5701, s, 102.3, degC
103.0860, s, 102.3, degC
103.6019, s, 102.3, degC
104.1325, s, 102.3, degC
104.6336, s, 102.3, degC
105.1494, s, 102.4, degC
105.6654, s, 102.4, degC
106.1813, s, 102.4, degC
106.6971, s, 102.5, degC
107.2129, s, 102.5, degC
107.7311, s, 102.5, degC
108.2448, s, 102.5, degC
108.7607, s, 102.6, degC
109.2765, s, 102.6, degC
109.7923, s, 102.7, degC
110.3084, s, 97.2, degC
110.8242, s, 102.8, degC
111.3400, s, 102.8, degC
111.8558, s, 102.8, degC
112.3719, s, 102.8, degC
112.8878, s, 102.8, degC
113.4034, s, 102.8, degC
113.9193, s, 102.8, degC
114.4351, s, 102.9, degC
114.9513, s, 102.9, degC
115.4670, s, 102.9, degC
115.9828, s, 102.9, degC
116.4987, s, 102.9, degC
117.0270, s, 102.9, degC
117.5307, s, 102.9, degC
118.0464, s, 102.9, degC
118.5622, s, 102.9, degC
119.0782, s, 102.9, degC
119.5940, s, 102.9, degC
120.1099, s, 102.8, degC
120.6257, s, 102.8, degC
121.1413, s, 102.8, degC
121.6575, s, 102.7, degC
122.1734, s, 102.7, degC
122.6892, s, 102.7, degC
123.2049, s, 102.6, degC
123.7210, s, 102.6, degC
124.2489, s, 102.5, degC
124.7527, s, 102.5, degC
125.2685, s, 102.5, degC
125.7846, s, 102.5, degC
126.3003, s, 102.5, degC
126.8163, s, 102.5, degC
127.3321, s, 102.5, degC
127.8480, s, 102.4, degC
128.3639, s, 102.4, degC
128.8797, s, 102.3, degC
129.3955, s, 102.3, degC
129.9113, s, 102.2, degC
130.4272, s, 102.2, degC
130.9432, s, 102.2, degC
131.4591, s, 102.2, degC
131.9750, s, 102.2, degC
132.4909, s, 102.2, degC
133.0068, s, 102.2, degC
133.5447, s, 102.1, degC
134.0383, s, 102.1, degC
134.5544, s, 102.1, degC
135.0703, s, 102.0, degC
135.5856, s, 102.0, degC
136.1019, s, 102.0, degC
136.6175, s, 102.0, degC
137.1431, s, 101.9, degC
137.6495, s, 101.9, degC
138.1652, s, 101.9, degC
138.6812, s, 101.8, degC
139.1972, s, 101.8, degC
139.7131, s, 101.7, degC
140.2290, s, 101.6, degC
140.7448, s, 101.6, degC
141.2603, s, 101.5, degC
141.7766, s, 101.5, degC
142.2924, s, 101.4, degC
142.8082, s, 101.4, degC
143.3240, s, 101.4, degC
143.8402, s, 101.3, degC
144.3559, s, 101.3, degC
144.8717, s, 101.2, degC
145.3876, s, 101.2, degC
145.9036, s, 101.2, degC
146.4391, s, 101.1, degC
146.9352, s, 101.1, degC
147.4511, s, 101.0, degC
147.9669, s, 101.0, degC
148.4830, s, 101.0, degC
148.9987, s, 101.0, degC
149.5146, s, 100.9, degC
150.0378, s, 100.9, degC
150.5465, s, 100.9, degC
151.0622, s, 100.9, degC
151.5781, s, 100.9, degC
152.0939, s, 100.8, degC
152.6101, s, 100.8, degC
153.1258, s, 100.8, degC
153.6417, s, 100.8, degC
154.1574, s, 100.8, degC
154.6733, s, 100.8, degC
155.1894, s, 100.7, degC
155.7052, s, 100.7, degC
156.2210, s, 100.7, degC
156.7371, s, 100.6, degC
157.2529, s, 100.6, degC
157.7687, s, 100.6, degC
158.2845, s, 100.6, degC
158.8004, s, 100.6, degC
159.3338, s, 100.5, degC
159.8322, s, 100.5, degC
